symbol,period,experiment,cost,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade,profit_factor_clean
BTCUSDT,2026-03,BASE_SHORT,0.0006,93,0.3225806451612903,-0.0012715363506299415,-0.0018127659574467929,0.5404435152084841,0.011695970302001136,-0.017517540087856064,0.5404435152084841
BTCUSDT,2026-03,BASE_SHORT,0.0008,93,0.3225806451612903,-0.0014715363506299414,-0.002012765957446793,0.49298646003870694,0.011495970302001135,-0.017717540087856063,0.49298646003870694
BTCUSDT,2026-03,BASE_SHORT,0.001,93,0.3118279569892473,-0.0016715363506299421,-0.002212765957446793,0.4500179480934013,0.011295970302001135,-0.017917540087856065,0.4500179480934013
BTCUSDT,2026-03,ATR_CONTRACTING,0.0,23,0.391304347826087,0.000579512580160395,-0.001300283286118975,1.3243567473271385,0.010217555605104733,-0.009179147594727266,1.3243567473271385
BTCUSDT,2026-03,ATR_CONTRACTING,0.0002,23,0.391304347826087,0.0003795125801603951,-0.0015002832861189751,1.1988652145137586,0.010017555605104733,-0.009379147594727267,1.1988652145137586
BTCUSDT,2026-03,ATR_CONTRACTING,0.0004,23,0.391304347826087,0.00017951258016039485,-0.001700283286118975,1.088424175319585,0.009817555605104734,-0.009579147594727265,1.088424175319585
BTCUSDT,2026-03,ATR_CONTRACTING,0.0006,23,0.391304347826087,-2.048741983960485e-05,-0.0019002832861189749,0.9904792449652237,0.009617555605104734,-0.009779147594727266,0.9904792449652237
BTCUSDT,2026-03,ATR_CONTRACTING,0.0008,23,0.391304347826087,-0.0002204874198396054,-0.002100283286118975,0.9030231312783741,0.009417555605104733,-0.009979147594727266,0.9030231312783741
BTCUSDT,2026-03,ATR_CONTRACTING,0.001,23,0.391304347826087,-0.0004204874198396053,-0.002300283286118975,0.8244566098166174,0.009217555605104732,-0.010179147594727267,0.8244566098166174
BTCUSDT,2026-03,ATR_EXPANDING,0.0,82,0.36585365853658536,-0.0008056923185753979,-0.001039417397319664,0.6509847287818813,0.012295970302001136,-0.016917540087856064,0.6509847287818813
BTCUSDT,2026-03,ATR_EXPANDING,0.0002,82,0.32926829268292684,-0.001005692318575398,-0.0012394173973196642,0.5877123457521698,0.012095970302001135,-0.017117540087856063,0.5877123457521698
BTCUSDT,2026-03,ATR_EXPANDING,0.0004,82,0.3170731707317073,-0.0012056923185753982,-0.001439417397319664,0.5315697405297618,0.011895970302001136,-0.017317540087856065,0.5315697405297618
BTCUSDT,2026-03,ATR_EXPANDING,0.0006,82,0.3170731707317073,-0.0014056923185753979,-0.001639417397319664,0.4813870985939191,0.011695970302001136,-0.017517540087856064,0.4813870985939191
BTCUSDT,2026-03,ATR_EXPANDING,0.0008,82,0.3170731707317073,-0.0016056923185753978,-0.001839417397319664,0.4360193817731024,0.011495970302001135,-0.017717540087856063,0.4360193817731024
BTCUSDT,2026-03,ATR_EXPANDING,0.001,82,0.3048780487804878,-0.0018056923185753985,-0.002039417397319664,0.39512982019460996,0.011295970302001135,-0.017917540087856065,0.39512982019460996
BTCUSDT,2026-04,BASE_SHORT,0.0,69,0.43478260869565216,-0.00010089733697306857,-0.0004126960306144456,0.9282269009374569,0.01019403957771714,-0.01034762535264333,0.9282269009374569
BTCUSDT,2026-04,BASE_SHORT,0.0002,69,0.391304347826087,-0.00030089733697306854,-0.0006126960306144456,0.8024310456643329,0.00999403957771714,-0.010547625352643331,0.8024310456643329
BTCUSDT,2026-04,BASE_SHORT,0.0004,69,0.37681159420289856,-0.0005008973369730685,-0.0008126960306144456,0.6958541292943813,0.00979403957771714,-0.01074762535264333,0.6958541292943813
BTCUSDT,2026-04,BASE_SHORT,0.0006,69,0.34782608695652173,-0.0007008973369730686,-0.0010126960306144454,0.6050359614679991,0.00959403957771714,-0.01094762535264333,0.6050359614679991
BTCUSDT,2026-04,BASE_SHORT,0.0008,69,0.34782608695652173,-0.0009008973369730688,-0.0012126960306144455,0.5270929724610242,0.00939403957771714,-0.01114762535264333,0.5270929724610242
BTCUSDT,2026-04,BASE_SHORT,0.001,69,0.30434782608695654,-0.0011008973369730688,-0.0014126960306144456,0.4607284334265752,0.009194039577717139,-0.011347625352643331,0.4607284334265752
